Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
O15467,CCL16,C-C motif chemokine 16,1,3.564783,9.154398,-5.589615,0.0207662568237495,Down,4.13028944305931e-06,0.027297082929179
Q9BQE4,SELENOS,Selenoprotein S,1,11.6157195,3.479408,8.1363115,281.367424686622,Up,1.23999099569058e-05,0.0409755024525953
Q9H788,SH2D4A,SH2 domain-containing protein 4A,10,14.401155,14.207275,0.19388,1.14383582765739,Up,0.000100463893421002,0.17059238450106
P21796,VDAC1,Non-selective voltage-gated ion channel VDAC1,11,16.22914,16.704745,-0.475605,0.719165141950411,Down,0.000103248530489369,0.17059238450106
Q8N370,SLC43A2,Large neutral amino acids transporter small subunit 4,1,3.564783,11.4370375,-7.8722545,0.00426791009218638,Down,0.000160652931332244,0.195230709263597
O95376,ARIH2,E3 ubiquitin-protein ligase ARIH2,1,3.564783,12.525983,-8.9612,0.00200636527572006,Down,0.000177240771006443,0.195230709263597
Q96SB3,PPP1R9B,Neurabin-2,14,16.92052,16.67625,0.244269999999997,1.18449326871726,Up,0.000219009376899029,0.206776138846526
P30041,PRDX6,Peroxiredoxin-6,14,15.10807,15.883185,-0.775115,0.584342043394537,Down,0.000326382691160198,0.269632900734719
Q6PJ21,SPSB3,SPRY domain-containing SOCS box protein 3,2,3.564783,10.8383755,-7.2735925,0.00646294531539502,Down,0.000400748730816139,0.273151565651342
Q9H1B5,XYLT2,Xylosyltransferase 2,1,12.4773595,3.479408,8.9979515,511.273520946539,Up,0.000413302414361237,0.273151565651342
Q4G176,ACSF3,"Malonate--CoA ligase ACSF3, mitochondrial",11,11.52957,11.787015,-0.257445,0.836568163018761,Down,0.000615180291706511,0.347099087525046
Q13263,TRIM28,Transcription intermediary factor 1-beta,18,18.51459,18.24249,0.272099999999998,1.20756429056401,Up,0.000653518057233916,0.347099087525046
P06733,ENO1,Alpha-enolase,19,17.299485,18.0489,-0.749415,0.594844712842196,Down,0.000719596155711735,0.347099087525046
Q15417,CNN3,Calponin-3,11,15.52647,16.1341,-0.60763,0.656273916648489,Down,0.000812397805782514,0.347099087525046
Q96R72,OR4K3,Olfactory receptor 4K3,1,13.476216,3.479408,9.996808,1021.73687811145,Up,0.000891566659953476,0.347099087525046
Q9NR09,BIRC6,Dual E2 ubiquitin-conjugating enzyme/E3 ubiquitin-protein ligase BIRC6,2,3.564783,12.820111,-9.255328,0.00163632155867581,Down,0.000893528779513468,0.347099087525046
Q13144,EIF2B5,Translation initiation factor eIF2B subunit epsilon,5,11.24148,11.70168,-0.4602,0.726885483950388,Down,0.000907336425073638,0.347099087525046
P09211,GSTP1,Glutathione S-transferase P,10,14.611865,15.168145,-0.55628,0.680053427801676,Down,0.000949848559913225,0.347099087525046
Q8ND82,ZNF280C,Zinc finger protein 280C,5,11.193505,10.773545,0.41996,1.33789046007186,Up,0.0010040256196853,0.347099087525046
P53992,SEC24C,Protein transport protein Sec24C,23,14.085235,14.600715,-0.51548,0.699560142966368,Down,0.00120350512847035,0.347099087525046
O15243,LEPROT,Leptin receptor gene-related protein,1,11.0655645,3.479408,7.5861565,192.158968282246,Up,0.00122065337931905,0.347099087525046
P11766,ADH5,Alcohol dehydrogenase class-3,7,11.880915,12.73846,-0.857545,0.55189089901412,Down,0.00130482692637917,0.347099087525046
P35237,SERPINB6,Serpin B6,11,12.792065,13.653045,-0.86098,0.550578431633829,Down,0.00133809238649939,0.347099087525046
Q9H6X2,ANTXR1,Anthrax toxin receptor 1,10,15.734485,14.93785,0.796634999999998,1.73704484458003,Up,0.0014845765745087,0.347099087525046
O95486,SEC24A,Protein transport protein Sec24A,16,11.38502,12.09873,-0.71371,0.609750102223785,Down,0.00148781126214531,0.347099087525046
A8CG34,POM121C,Nuclear envelope pore membrane protein POM 121C,18,16.428285,16.713475,-0.28519,0.820633525928698,Down,0.00152745111742746,0.347099087525046
Q9Y3B7,MRPL11,Large ribosomal subunit protein uL11m,10,13.7368,13.315365,0.421434999999999,1.33925900817447,Up,0.00166699971521537,0.347099087525046
O96008,TOMM40,Mitochondrial import receptor subunit TOM40 homolog,10,13.50553,14.296785,-0.791255,0.577841209354273,Down,0.00169764012930311,0.347099087525046
P09923,ALPI,Intestinal-type alkaline phosphatase,15,16.575725,17.44486,-0.869135,0.547475003097896,Down,0.00179222357369415,0.347099087525046
P23919,DTYMK,Thymidylate kinase,6,11.934895,12.3466,-0.411705,0.7517344367869,Down,0.00181133379322643,0.347099087525046
Q9P000,COMMD9,COMM domain-containing protein 9,1,10.472059,3.479408,6.992651,127.349633724635,Up,0.00198022096520358,0.347099087525046
P35606,COPB2,Coatomer subunit beta',26,13.307015,13.66598,-0.358965,0.779723758598241,Down,0.00199678724958138,0.347099087525046
P12429,ANXA3,Annexin A3,16,12.39587,13.241955,-0.846085,0.556292283970479,Down,0.00202087336067911,0.347099087525046
Q8NBN7,RDH13,Retinol dehydrogenase 13,8,12.433055,12.10489,0.328164999999998,1.25541556405251,Up,0.00216659765037924,0.347099087525046
P14923,JUP,Junction plakoglobin,30,14.926045,15.16103,-0.234985,0.849693833535998,Down,0.00217850160023388,0.347099087525046
Q9GZR7,DDX24,ATP-dependent RNA helicase DDX24,28,16.9761,16.82911,0.146989999999999,1.10725690953763,Up,0.00229565330878321,0.347099087525046
P0DMU9,CT45A10,Cancer/testis antigen family 45 member A10,7,15.345075,14.802715,0.54236,1.45635291175099,Up,0.00235285747592632,0.347099087525046
P09382,LGALS1,Galectin-1,8,15.68376,16.17705,-0.49329,0.710403207183172,Down,0.00247480648680858,0.347099087525046
P00966,ASS1,Argininosuccinate synthase,15,15.56389,16.29619,-0.7323,0.601943506967141,Down,0.00252858627200472,0.347099087525046
P57081,WDR4,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4,2,3.564783,13.717482,-10.152699,0.000878482398034967,Down,0.00260392727733644,0.347099087525046
P07355,ANXA2,Annexin A2,21,19.63859,19.49775,0.140840000000001,1.10254687992642,Up,0.00262332176945486,0.347099087525046
Q9BZF9,UACA,Uveal autoantigen with coiled-coil domains and ankyrin repeats,34,14.31122,13.937435,0.373785,1.29574785009069,Up,0.00267261245152205,0.347099087525046
Q6NZY4,ZCCHC8,Zinc finger CCHC domain-containing protein 8,21,15.988195,15.818915,0.169280000000001,1.12449714636892,Up,0.00274598287606946,0.347099087525046
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",21,15.287915,15.38519,-0.097275,0.934796993995082,Down,0.00286716725825861,0.347099087525046
Q8N183,NDUFAF2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,9,13.927805,13.49726,0.430544999999999,1.347742611,Up,0.00287500868886157,0.347099087525046
Q96T37,RBM15,RNA-binding protein 15,38,15.61614,15.329465,0.286675000000002,1.21982568572931,Up,0.00290004927531576,0.347099087525046
Q15008,PSMD6,26S proteasome non-ATPase regulatory subunit 6,18,13.6124,13.190525,0.421874999999998,1.3396675240533,Up,0.00291439140910125,0.347099087525046
O95782,AP2A1,AP-2 complex subunit alpha-1,36,16.378615,16.554675,-0.17606,0.885116952834855,Down,0.002965161362859,0.347099087525046
P29992,GNA11,Guanine nucleotide-binding protein subunit alpha-11,7,11.603755,11.88088,-0.277125,0.825233904345757,Down,0.0029653452818061,0.347099087525046
Q9H3U1,UNC45A,Protein unc-45 homolog A,26,14.93461,15.07915,-0.14454,0.90466778282455,Down,0.00297124629346087,0.347099087525046
Q14865,ARID5B,AT-rich interactive domain-containing protein 5B,27,12.603575,13.40639,-0.802815,0.573229594659749,Down,0.00297326585884277,0.347099087525046
Q9UJS0,SLC25A13,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",20,13.823845,14.09119,-0.267345,0.830847152555737,Down,0.00303025185987923,0.347099087525046
