gsm	title
GSM2496812	Control 0 hr replicate 1
GSM2496813	Control 0 hr replicate 2
GSM2496814	Control 0 hr replicate 3
GSM2496815	Control 0 hr replicate 4
GSM2496816	Control 0 hr replicate 5
GSM2496817	Control 0 hr replicate 6
GSM2496818	Control 0 hr replicate 7
GSM2496819	Control 0 hr replicate 8
GSM2496820	Control 0 hr replicate 9
GSM2496821	Control 4 hrs replicate 1
GSM2496822	Control 4 hrs replicate 2
GSM2496823	Control 4 hrs replicate 3
GSM2496824	Control 4 weeks replicate 1
GSM2496825	Control 4 weeks replicate 2
GSM2496826	Sham control 1 hr replicate 1
GSM2496827	Sham control 1 hr replicate 2
GSM2496828	Sham control 1 hr replicate 3
GSM2496829	Sham control 1 hr replicate 4
GSM2496830	Sham control 1 hr replicate 5
GSM2496831	Sham control 1 hr replicate 6
GSM2496832	Sham control 4 hrs replicate 1
GSM2496833	Sham control 4 hrs replicate 2
GSM2496834	Sham control 4 hrs replicate 3
GSM2496835	Sham control 4 hrs replicate 4
GSM2496836	Sham control 4 hrs replicate 5
GSM2496837	Sham control 10 hrs replicate 1
GSM2496838	Sham control 10 hrs replicate 2
GSM2496839	Sham control 10 hrs replicate 3
GSM2496840	Sham control 20 hrs replicate 1
GSM2496841	Sham control 20 hrs replicate 2
GSM2496842	Sham control 20 hrs replicate 3
GSM2496843	Sham control 48 hrs replicate 1
GSM2496844	Sham control 48 hrs replicate 2
GSM2496845	Sham control 48 hrs replicate 3
GSM2496846	Post-PH 1 hr replicate 1
GSM2496847	Post-PH 1 hr replicate 2
GSM2496848	Post-PH 1 hr replicate 3
GSM2496849	Post-PH 1 hr replicate 4
GSM2496850	Post-PH 1 hr replicate 5
GSM2496851	Post-PH 1 hr replicate 6
GSM2496852	Post-PH 4 hrs replicate 1
GSM2496853	Post-PH 4 hrs replicate 2
GSM2496854	Post-PH 4 hrs replicate 3
GSM2496855	Post-PH 4 hrs replicate 4
GSM2496856	Post-PH 4 hrs replicate 5
GSM2496857	Post-PH 4 hrs replicate 6
GSM2496858	Post-PH 10 hrs replicate 1
GSM2496859	Post-PH 10 hrs replicate 2
GSM2496860	Post-PH 10 hrs replicate 3
GSM2496861	Post-PH 10 hrs replicate 4
GSM2496862	Post-PH 10 hrs replicate 5
GSM2496863	Post-PH 10 hrs replicate 6
GSM2496864	Post-PH 20 hrs replicate 1
GSM2496865	Post-PH 20 hrs replicate 2
GSM2496866	Post-PH 20 hrs replicate 3
GSM2496867	Post-PH 20 hrs replicate 4
GSM2496868	Post-PH 20 hrs replicate 5
GSM2496869	Post-PH 20 hrs replicate 6
GSM2496870	Post-PH 28 hrs replicate 1
GSM2496871	Post-PH 28 hrs replicate 2
GSM2496872	Post-PH 28 hrs replicate 3
GSM2496873	Post-PH 36 hrs replicate 1
GSM2496874	Post-PH 36 hrs replicate 2
GSM2496875	Post-PH 36 hrs replicate 3
GSM2496876	Post-PH 36 hrs replicate 4
GSM2496877	Post-PH 36 hrs replicate 5
GSM2496878	Post-PH 36 hrs replicate 6
GSM2496879	Post-PH 44 hrs replicate 1
GSM2496880	Post-PH 44 hrs replicate 2
GSM2496881	Post-PH 44 hrs replicate 3
GSM2496882	Post-PH 48 hrs replicate 1
GSM2496883	Post-PH 48 hrs replicate 2
GSM2496884	Post-PH 48 hrs replicate 3
GSM2496885	Post-PH 48 hrs replicate 4
GSM2496886	Post-PH 48 hrs replicate 5
GSM2496887	Post-PH 60 hrs replicate 1
GSM2496888	Post-PH 60 hrs replicate 2
GSM2496889	Post-PH 60 hrs replicate 3
GSM2496890	Post-PH 72 hrs replicate 1
GSM2496891	Post-PH 72 hrs replicate 2
GSM2496892	Post-PH 72 hrs replicate 3
GSM2496893	Post-PH 1 week replicate 1
GSM2496894	Post-PH 1 week replicate 2
GSM2496895	Post-PH 1 week replicate 3
GSM2496896	Post-PH 4 weeks replicate 1
GSM2496897	Post-PH 4 weeks replicate 2
GSM2496898	Post-PH 4 weeks replicate 3
