sample_code	group	time_value	time_unit	time_label	time_hours	replicate
C0H1	Control	0	hour	0 h	0	1
C0H2	Control	0	hour	0 h	0	2
C0H3	Control	0	hour	0 h	0	3
C0H4	Control	0	hour	0 h	0	4
C0H5	Control	0	hour	0 h	0	5
C0H6	Control	0	hour	0 h	0	6
C0H7	Control	0	hour	0 h	0	7
C0H8	Control	0	hour	0 h	0	8
C0H9	Control	0	hour	0 h	0	9
C4H1	Control	4	hour	4 h	4	1
C4H2	Control	4	hour	4 h	4	2
C4H3	Control	4	hour	4 h	4	3
C4W1	Control	4	week	4 wk	672	1
C4W2	Control	4	week	4 wk	672	2
S1H1	Sham	1	hour	1 h	1	1
S1H2	Sham	1	hour	1 h	1	2
S1H3	Sham	1	hour	1 h	1	3
S1H4	Sham	1	hour	1 h	1	4
S1H5	Sham	1	hour	1 h	1	5
S1H6	Sham	1	hour	1 h	1	6
S4H1	Sham	4	hour	4 h	4	1
S4H2	Sham	4	hour	4 h	4	2
S4H3	Sham	4	hour	4 h	4	3
S4H4	Sham	4	hour	4 h	4	4
S4H5	Sham	4	hour	4 h	4	5
S4H6	Sham	4	hour	4 h	4	6
S4H7	Sham	4	hour	4 h	4	7
S4H8	Sham	4	hour	4 h	4	8
S4H9	Sham	4	hour	4 h	4	9
S10H1	Sham	10	hour	10 h	10	1
S10H2	Sham	10	hour	10 h	10	2
S10H3	Sham	10	hour	10 h	10	3
S20H1	Sham	20	hour	20 h	20	1
S20H2	Sham	20	hour	20 h	20	2
S20H3	Sham	20	hour	20 h	20	3
S48H1	Sham	48	hour	48 h	48	1
S48H2	Sham	48	hour	48 h	48	2
S48H3	Sham	48	hour	48 h	48	3
X1H1	Post-PH	1	hour	1 h	1	1
X1H2	Post-PH	1	hour	1 h	1	2
X1H3	Post-PH	1	hour	1 h	1	3
X1H4	Post-PH	1	hour	1 h	1	4
X1H5	Post-PH	1	hour	1 h	1	5
X1H6	Post-PH	1	hour	1 h	1	6
X4H4	Post-PH	4	hour	4 h	4	4
X4H5	Post-PH	4	hour	4 h	4	5
X4H6	Post-PH	4	hour	4 h	4	6
X10H1	Post-PH	10	hour	10 h	10	1
X10H2	Post-PH	10	hour	10 h	10	2
X10H3	Post-PH	10	hour	10 h	10	3
X10H4	Post-PH	10	hour	10 h	10	4
X10H5	Post-PH	10	hour	10 h	10	5
X10H6	Post-PH	10	hour	10 h	10	6
X20H1	Post-PH	20	hour	20 h	20	1
X20H2	Post-PH	20	hour	20 h	20	2
X20H3	Post-PH	20	hour	20 h	20	3
X20H4	Post-PH	20	hour	20 h	20	4
X20H5	Post-PH	20	hour	20 h	20	5
X20H6	Post-PH	20	hour	20 h	20	6
X28H1	Post-PH	28	hour	28 h	28	1
X28H2	Post-PH	28	hour	28 h	28	2
X28H3	Post-PH	28	hour	28 h	28	3
X36H1	Post-PH	36	hour	36 h	36	1
X36H2	Post-PH	36	hour	36 h	36	2
X36H3	Post-PH	36	hour	36 h	36	3
X36H4	Post-PH	36	hour	36 h	36	4
X36H5	Post-PH	36	hour	36 h	36	5
X36H6	Post-PH	36	hour	36 h	36	6
X44H1	Post-PH	44	hour	44 h	44	1
X44H2	Post-PH	44	hour	44 h	44	2
X44H3	Post-PH	44	hour	44 h	44	3
X48H1	Post-PH	48	hour	48 h	48	1
X48H2	Post-PH	48	hour	48 h	48	2
X48H3	Post-PH	48	hour	48 h	48	3
X48H4	Post-PH	48	hour	48 h	48	4
X48H5	Post-PH	48	hour	48 h	48	5
X72H1	Post-PH	72	hour	72 h	72	1
X72H2	Post-PH	72	hour	72 h	72	2
X72H3	Post-PH	72	hour	72 h	72	3
X1W1	Post-PH	1	week	1 wk	168	1
X1W2	Post-PH	1	week	1 wk	168	2
X1W3	Post-PH	1	week	1 wk	168	3
X4W1	Post-PH	4	week	4 wk	672	1
X4W2	Post-PH	4	week	4 wk	672	2
