sample_code	group	time_value	time_unit	time_label	time_hours	replicate	gene_id	gene_symbol_current	gene_symbol_matrix	gene_type	log2_rpkm
C0H1	Control	0	hour	0 h	0	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
C0H2	Control	0	hour	0 h	0	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.8869873076396
C0H3	Control	0	hour	0 h	0	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
C0H4	Control	0	hour	0 h	0	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
C0H5	Control	0	hour	0 h	0	5	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.76802202430245
C0H6	Control	0	hour	0 h	0	6	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.81637194073807
C0H7	Control	0	hour	0 h	0	7	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.22770051879979
C0H8	Control	0	hour	0 h	0	8	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.29327101780356
C0H9	Control	0	hour	0 h	0	9	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.29201701549704
C4H1	Control	4	hour	4 h	4	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.4221149512672
C4H2	Control	4	hour	4 h	4	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.34877276805708
C4H3	Control	4	hour	4 h	4	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-14.2877123795494
C4W1	Control	4	week	4 wk	672	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-5.88772505574175
C4W2	Control	4	week	4 wk	672	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.15713710540756
S1H1	Sham	1	hour	1 h	1	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.9077755125169
S1H2	Sham	1	hour	1 h	1	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.78646656382972
S1H3	Sham	1	hour	1 h	1	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-4.0125944595849
S1H4	Sham	1	hour	1 h	1	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.59831276275641
S1H5	Sham	1	hour	1 h	1	5	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.89312174437703
S1H6	Sham	1	hour	1 h	1	6	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-2.59271946469471
S4H1	Sham	4	hour	4 h	4	1	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.20224738408493
S4H2	Sham	4	hour	4 h	4	2	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-3.37955425043614
S4H3	Sham	4	hour	4 h	4	3	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.82488625157159
S4H4	Sham	4	hour	4 h	4	4	ENSMUSG00000058427	Cxcl2	Cxcl2	protein_coding	-1.49165037623702
