sample_code	group	time_value	time_unit	time_label	time_hours	replicate	gene_id	gene_symbol_current	gene_symbol_matrix	gene_type	log2_rpkm
C0H1	Control	0	hour	0 h	0	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.521058420184516
C0H2	Control	0	hour	0 h	0	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.66597731584895
C0H3	Control	0	hour	0 h	0	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.300463282198216
C0H4	Control	0	hour	0 h	0	4	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.60957597640038
C0H5	Control	0	hour	0 h	0	5	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.22390286493442
C0H6	Control	0	hour	0 h	0	6	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.878108324149784
C0H7	Control	0	hour	0 h	0	7	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.895054369071079
C0H8	Control	0	hour	0 h	0	8	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.565956962553098
C0H9	Control	0	hour	0 h	0	9	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	0.774824494245379
C4H1	Control	4	hour	4 h	4	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.14892226174553
C4H2	Control	4	hour	4 h	4	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.05337594613711
C4H3	Control	4	hour	4 h	4	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.23470254766739
C4W1	Control	4	week	4 wk	672	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	-0.483003239671724
C4W2	Control	4	week	4 wk	672	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	-0.183465034031676
S1H1	Sham	1	hour	1 h	1	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.59751701948012
S1H2	Sham	1	hour	1 h	1	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.7317095332727
S1H3	Sham	1	hour	1 h	1	3	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.63637438060811
S1H4	Sham	1	hour	1 h	1	4	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	3.02299151046627
S1H5	Sham	1	hour	1 h	1	5	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	2.4797208022243
S1H6	Sham	1	hour	1 h	1	6	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	2.31888229052032
S4H1	Sham	4	hour	4 h	4	1	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	2.03453607455548
S4H2	Sham	4	hour	4 h	4	2	ENSMUSG00000001627	Ifrd1	Ifrd1	protein_coding	1.73184956124004
