sample_code	group	time_value	time_unit	time_label	time_hours	replicate	gene_id	gene_symbol_current	gene_symbol_matrix	gene_type	log2_rpkm
C0H1	Control	0	hour	0 h	0	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.66684886081508
C0H2	Control	0	hour	0 h	0	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.34064175396552
C0H3	Control	0	hour	0 h	0	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.79181213416475
C0H4	Control	0	hour	0 h	0	4	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.99611027850539
C0H5	Control	0	hour	0 h	0	5	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.81780292628592
C0H6	Control	0	hour	0 h	0	6	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.68870350745241
C0H7	Control	0	hour	0 h	0	7	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.28358482297019
C0H8	Control	0	hour	0 h	0	8	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.21134289919912
C0H9	Control	0	hour	0 h	0	9	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.73499169365599
C4H1	Control	4	hour	4 h	4	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.08408436990544
C4H2	Control	4	hour	4 h	4	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-0.64076957767948
C4H3	Control	4	hour	4 h	4	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.32398179588104
C4W1	Control	4	week	4 wk	672	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.49929426514123
C4W2	Control	4	week	4 wk	672	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.17238316617336
S1H1	Sham	1	hour	1 h	1	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-2.53608596847179
S1H2	Sham	1	hour	1 h	1	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-2.0176047209278
S1H3	Sham	1	hour	1 h	1	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-2.57107329348495
S1H4	Sham	1	hour	1 h	1	4	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.28450932216845
S1H5	Sham	1	hour	1 h	1	5	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.74857065591175
S1H6	Sham	1	hour	1 h	1	6	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.67575805083259
S4H1	Sham	4	hour	4 h	4	1	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.98540128833499
S4H2	Sham	4	hour	4 h	4	2	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-2.6276001150474
S4H3	Sham	4	hour	4 h	4	3	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.83086822833957
S4H4	Sham	4	hour	4 h	4	4	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-2.63900795504623
S4H5	Sham	4	hour	4 h	4	5	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.65562766708274
S4H6	Sham	4	hour	4 h	4	6	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.47385706505964
S4H7	Sham	4	hour	4 h	4	7	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.38461034075344
S4H8	Sham	4	hour	4 h	4	8	ENSMUSG00000014444	Piezo1	Fam38a	protein_coding	-1.53295345571006
